meter,date,time,kw
82445252,2024-08-19,01:15:00.000,0.788
82445252,2024-08-19,01:30:00.000,1.04
82445252,2024-08-19,01:45:00.000,0.868
82445252,2024-08-19,02:00:00.000,0.696
82445252,2024-08-19,02:15:00.000,0.92
82445252,2024-08-19,02:30:00.000,0.98
82445252,2024-08-19,02:45:00.000,0.816
82445252,2024-08-19,03:00:00.000,0.66
82445252,2024-08-19,03:15:00.000,0.812
82445252,2024-08-19,03:30:00.000,0.896
82445252,2024-08-19,03:45:00.000,0.792
82445252,2024-08-19,04:00:00.000,0.952
82445252,2024-08-19,04:15:00.000,0.832
82445252,2024-08-19,04:30:00.000,0.764
82445252,2024-08-19,04:45:00.000,0.632
82445252,2024-08-19,05:00:00.000,0.916
82445252,2024-08-19,05:15:00.000,0.956
82445252,2024-08-19,05:30:00.000,0.704
82445252,2024-08-19,05:45:00.000,0.744
82445252,2024-08-19,06:00:00.000,0.988
82445252,2024-08-19,06:15:00.000,0.848
82445252,2024-08-19,06:30:00.000,0.508
82445252,2024-08-19,06:45:00.000,0.656
82445252,2024-08-19,07:00:00.000,0.696
82445252,2024-08-19,07:15:00.000,0.688
82445252,2024-08-19,07:30:00.000,1.012
82445252,2024-08-19,07:45:00.000,0.464
82445252,2024-08-19,08:00:00.000,0.808
82445252,2024-08-19,08:15:00.000,0.596
82445252,2024-08-19,08:30:00.000,0.924
82445252,2024-08-19,08:45:00.000,0.512
82445252,2024-08-19,09:00:00.000,0.928
82445252,2024-08-19,09:15:00.000,0.616
82445252,2024-08-19,09:30:00.000,0.828
82445252,2024-08-19,09:45:00.000,0.848
82445252,2024-08-19,10:00:00.000,0.848
82445252,2024-08-19,10:15:00.000,0.908
82445252,2024-08-19,10:30:00.000,0.656
82445252,2024-08-19,10:45:00.000,1.168
82445252,2024-08-19,11:00:00.000,1.1
82445252,2024-08-19,11:15:00.000,0.784
82445252,2024-08-19,11:30:00.000,1.14
82445252,2024-08-19,11:45:00.000,1.416
82445252,2024-08-19,12:00:00.000,1.356
82445252,2024-08-19,12:15:00.000,1.42
82445252,2024-08-19,12:30:00.000,1.528
82445252,2024-08-19,12:45:00.000,1.924
